TILL_RECEIPT_NUMBER,sales,cost,quantity,grocery,dairy,produce,meat,frozen,deli,hba,horticulture,bread,CU_GENDER,CU_AGE_RANGE
3957,34.79,10.74,3,0,0,0,0,0,0,0,0,0,M,60+
3965,35.33,4.33,4,0,0,0,0,0,0,4.99,0,0,M,Under 19
3966,51.66,0,4,0,0,0,0,0,0,0,0,0,F,60+
3967,17.2,0,2,0,0,0,0,0,0,0,0,0,M,40-49
3973,21.79,8.31,2,0,0,0,0,0,0,0,0,0,M,60+
3974,16.1,0,3,0,0,0,0,0,0,0,0,0,M,20-29
3975,7.99,0,1,0,0,0,0,0,0,0,0,0,F,30-39
3976,0.56,0,1,0,0,0,0,0,0,0,0,0,M,30-39
3982,21.7,0,1,0,0,0,0,0,0,0,0,0,F,50-59
3983,47.92,19.69,2,0,0,0,0,0,0,0,0,0,F,60+
4009,48.63,0,10,0,0,0,0,0,0,0,0,0,M,60+
4011,4,0,2,0,0,0,0,0,0,0,0,0,M,40-49
4012,0,0,2,0,0,0,0,0,0,0,0,0,F,30-39
4019,9.61,3.1,2,0,0,0,0,0,0,0,0,0,F,60+
4024,2.15,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4025,33.28,0,3,0,0,0,0,0,0,0,0,0,F,30-39
4026,0,0,2,0,0,0,0,0,0,0,0,0,M,50-59
4033,82.93,0,1,0,0,0,0,0,0,0,0,0,F,60+
4034,2.72,0,4,0,0,0,0,0,0,0,0,0,M,30-39
4044,17.91,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4047,6.85,0,3,0,0,0,0,0,0,0,0,0,M,60+
4048,0,0,1,0,0,0,0,0,0,0,0,0,F,20-29
4051,49.87,22.05,3,0,0,0,0,0,0,0,0,0,M,Under 19
4055,67.36,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4065,11.49,7.64,1,0,0,0,0,0,0,0,0,0,M,20-29
4067,74.07,0,2,0,0,0,0,0,0,0,0,0,F,30-39
4071,25,4.73,3,0,0,0,0,0,0,0,0,0,M,50-59
4076,0,0,2,0,0,0,0,0,0,0,0,0,M,60+
4077,0,0,3,0,0,0,0,0,0,0,0,0,F,30-39
4078,0,0,8,0,0,0,0,0,0,0,0,0,F,60+
4084,0,0,2,0,0,0,0,0,0,0,0,0,F,20-29
4086,20.56,0,1,0,0,0,0,0,0,0,0,0,F,40-49
4088,54.18,0,2,0,0,0,0,0,0,0,0,0,F,50-59
4097,25,0,1,0,0,0,0,0,0,0,0,0,M,60+
4103,0,0,1,0,0,0,0,0,0,0,0,0,F,60+
4104,22.6,0,1,0,0,0,0,0,0,0,0,0,F,50-59
4105,15.99,3.05,4,0,0,0,0,0,0,0,0,0,F,40-49
4106,1,0,3,0,0,0,0,0,0,0,0,0,F,40-49
4114,11.34,0,2,0,0,0,0,0,0,0,0,0,F,60+
4116,6,0,3,0,0,0,0,0,0,0,0,0,F,30-39
4118,81.38,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4124,13.6,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4131,65,0,2,0,0,0,0,0,0,0,0,0,F,20-29
4132,21.28,0,1,0,0,0,0,0,0,0,0,0,F,40-49
4137,24.99,16.9,1,0,0,0,0,0,0,0,0,0,F,60+
4139,45.76,0,1,0,0,0,0,0,0,0,0,0,F,60+
4140,38.44,0,2,0,0,0,0,0,0,0,0,0,F,60+
4141,24.99,0,2,0,0,0,0,0,0,0,0,0,F,60+
4142,0.64,0,1,0,0,0,0,0,0,0,0,0,M,30-39
4144,4.3,0,1,0,0,0,0,0,0,0,0,0,F,50-59
4148,25.74,0,1,0,0,0,0,0,0,0,0,0,F,20-29
4154,6,0,3,0,0,0,0,0,0,0,0,0,M,50-59
4156,55.68,0,4,0,0,0,0,0,0,0,0,0,F,30-39
4162,9.99,3.46,1,0,0,0,0,0,0,0,0,0,F,60+
4163,26.02,0,2,0,0,0,0,0,0,0,0,0,F,60+
4167,0,0,2,0,0,0,0,0,0,0,0,0,M,50-59
4169,59.2,0,3,0,0,0,0,0,0,0,0,0,M,50-59
4174,25.44,0,2,0,0,0,0,0,0,0,0,0,M,30-39
