TILL_RECEIPT_NUMBER,sales,cost,quantity,CU_GENDER,CU_AGE_RANGE,CUSTOMER_TYPE,beef,fruit,vegetables,frozenfood,deli,poultry,salad,health,beauty,hotfood,horticulture
3957,34.79,10.74,3,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3965,35.33,4.33,4,M,Under 19,CUSTOMER,0,0,0,0,0,0,0,4.99,0,0,0
3966,51.66,0,4,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3967,17.2,0,2,M,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3973,21.79,8.31,2,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3974,16.1,0,3,M,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3975,7.99,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3976,0.56,0,1,M,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3982,21.7,0,1,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
3983,47.92,19.69,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4009,48.63,0,10,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4011,4,0,2,M,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4012,0,0,2,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4019,9.61,3.1,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4024,2.15,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4025,33.28,0,3,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4026,0,0,2,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4033,82.93,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4034,2.72,0,4,M,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4044,17.91,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4047,6.85,0,3,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4048,0,0,1,F,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4051,49.87,22.05,3,M,Under 19,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4055,67.36,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4065,11.49,7.64,1,M,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4067,74.07,0,2,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4071,25,4.73,3,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4076,0,0,2,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4077,0,0,3,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4078,0,0,8,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4084,0,0,2,F,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4086,20.56,0,1,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4088,54.18,0,2,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4097,25,0,1,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4103,0,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4104,22.6,0,1,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4105,15.99,3.05,4,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4106,1,0,3,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4114,11.34,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4116,6,0,3,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4118,81.38,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4124,13.6,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4131,65,0,2,F,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4132,21.28,0,1,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4137,24.99,16.9,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4139,45.76,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4140,38.44,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4141,24.99,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4142,0.64,0,1,M,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4144,4.3,0,1,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4148,25.74,0,1,F,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4154,6,0,3,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4156,55.68,0,4,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4162,9.99,3.46,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4163,26.02,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4167,0,0,2,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4169,59.2,0,3,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4174,25.44,0,2,M,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4175,13.85,0,3,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4182,5.99,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4197,31.73,5.91,4,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4199,8.35,0,2,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4203,32.95,0,4,F,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4211,14.75,0,2,M,Under 19,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4212,10.8,5.48,5,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4213,60.65,0,11,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4215,0,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4224,22.6,0,1,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4234,8,0,1,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4236,31.69,5.21,2,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4247,0,0,1,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4248,0,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4253,53.86,10.77,3,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4254,5.47,6.13,1,F,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4263,33.6,0,2,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4265,0,0,1,M,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4266,23.51,0,4,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4267,2,0,2,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4273,3.3,0,1,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4275,6.81,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4276,12.3,0,1,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4278,0,0,1,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4282,129.43,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4285,8.92,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4289,50.23,0,1,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4290,20.86,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4291,19.39,0,2,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4292,30.1,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4293,37.3,0,2,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4294,35.69,0,2,M,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4299,14,0,5,M,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4300,0,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4301,32.73,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4302,4,0,2,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4303,48.33,0,5,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4306,0,0,1,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4309,0,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4317,213.23,4.64,11,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4321,6.07,0,3,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4322,0,0,2,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4323,20.74,0,1,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4326,41.83,0,3,M,Under 19,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4327,28.52,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4333,0,0,1,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4335,53.98,0,3,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4337,0,0,1,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4338,16.59,4.33,3,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4339,5.5,0,2,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4347,82.93,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4349,23.37,0,1,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4354,0,0,1,F,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4355,0,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4356,25.79,0.73,2,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4364,12.67,0,1,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4367,61.77,0,3,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4370,0,0,3,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4375,103,0,3,M,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4376,158.09,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4382,32.65,0,7,F,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4385,5.79,4.92,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4394,5.19,4.11,5,M,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4396,14.53,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4397,0,0,7,M,50-59,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4409,26.44,2.89,3,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4410,210.92,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4413,43.85,0,2,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4418,27.73,0,1,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4419,25,0,1,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4420,20.86,0,1,F,40-49,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4421,13.75,0,2,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4422,9.35,0,4,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4423,0,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4425,6.6,0,2,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4433,38.86,0.6,3,M,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4436,234.13,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4437,6.75,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4443,10.82,0,2,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4447,15.77,5.79,2,M,20-29,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4454,25,0,1,F,60+,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
4459,21.08,8.42,3,F,30-39,CUSTOMER,0,0,0,0,0,0,0,0,0,0,0
